id	name	guard_name	created_at	updated_at
825	sms-templates-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
827	sms-templates-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
545	sms-templates.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
546	sms-templates.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
547	sms-templates.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
548	sms-templates.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
549	sms-templates.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
931	stock_count	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
78	stock_count.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
828	stock-counts-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
830	stock-counts-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
829	stock-counts-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
831	stock-counts-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
550	stock-counts.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
551	stock-counts.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
552	stock-counts.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
553	stock-counts.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
554	stock-counts.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
258	stock-report	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
256	supplier-due-report	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
246	supplier-report	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
832	suppliers-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
834	suppliers-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
833	suppliers-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
835	suppliers-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
555	suppliers.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
33	suppliers.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
35	suppliers.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
34	suppliers.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
150	suppliers.import	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
32	suppliers.index	sanctum	2018-06-05 05:10:12	2018-06-05 05:10:12
196	suppliers.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
929	table	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
836	tables-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
838	tables-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
837	tables-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
839	tables-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
556	tables.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
557	tables.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
558	tables.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
559	tables.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
560	tables.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
932	tax	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
86	tax.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
840	taxes-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
842	taxes-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
841	taxes-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
843	taxes-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
561	taxes.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
562	taxes.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
563	taxes.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
564	taxes.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
565	taxes.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
892	terminals-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
894	terminals-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
893	terminals-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
895	terminals-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
232	terminals.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
566	terminals.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
567	terminals.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
568	terminals.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
569	terminals.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
207	theme_settings	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
102	today_profit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
101	today_sale	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
844	transfers-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
846	transfers-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
845	transfers-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
847	transfers-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
570	transfers.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
21	transfers.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
23	transfers.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
22	transfers.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
158	transfers.import	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
20	transfers.index	sanctum	2018-06-05 04:00:03	2018-06-05 04:00:03
217	transfers.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
933	unit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
85	unit.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
848	units-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
850	units-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
849	units-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
851	units-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
571	units.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
572	units.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
573	units.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
574	units.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
575	units.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
852	user-profile-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
854	user-profile-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
853	user-profile-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
855	user-profile-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
576	user-profile.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
577	user-profile.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
578	user-profile.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
579	user-profile.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
580	user-profile.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
247	user-report	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
856	users-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
858	users-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
857	users-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
859	users-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
581	users.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
42	users.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
44	users.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
43	users.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
41	users.index	sanctum	2018-06-25 05:30:10	2018-06-25 05:30:10
222	users.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
934	warehouse	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
248	warehouse-report	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
245	warehouse-stock-report	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
91	warehouse.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
860	warehouses-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
862	warehouses-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
861	warehouses-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
863	warehouses-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
582	warehouses.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
583	warehouses.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
584	warehouses.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
585	warehouses.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
586	warehouses.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
896	whatsapp-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
898	whatsapp-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
897	whatsapp-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
899	whatsapp-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
587	whatsapp.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
193	whatsapp.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
195	whatsapp.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
194	whatsapp.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
191	whatsapp.index	sanctum	2026-01-21 14:40:19	2026-01-21 14:40:19
192	whatsapp.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
252	yearly_report	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
